,title,texte,texte_keyword,keyword_without_ent,keyword_without_stop_word,keywords_lematisations
88,Gastronomique. ,"après une attente gratinée sous un soleil au beurre noir, je finis par monter dans un autobus pistache où
grouillaient les clients comme asticots dans un fromage trop fait. parmi ce tas de nouilles, je remarquai
une grande allumette avec un coup long comme un jour sans pain et une galette sur sa tête qu'entourait
une sorte de fil à couper le beurre. ce veau se mit à bouillir parce qu'une sorte de croquant (qui en fut
baba) lui assaisonnait les pieds poulette. mais il cessa rapidement de discuter le bout de gras pour se
couler dans un moule devenu libre.
j'étais en train de digérer dans l'autobus de retour lorsque je le vis devant le buffet de la gare saintlazare avec un type tarte qui lui donnait des conseils à la flan, à propos de la façon dont il était dressé.
l'autre en était chocolat. ",beurre noir$autobus pistache$grande allumette$coup long$pieds poulette,beurre$noir$autobus$pistache$grande$allumette$coup$long$pieds$poulette,beurre$noir$autobus$pistache$grande$allumette$coup$long$pieds$poulette,beurre$noir$autobus$pistache$grand$allumette$coup$long$beurre$pied$poulett$autobus
89,Zoologique. ,"dans la volière qui, à l'heure où les lions vont boire, nous emmenait vers la place champerret j'aperçus un
zèbre au cou d'autruche qui portait un castor entouré d'un mille-pattes. soudain, le girafeau se mit à
enrager sous prétexte qu'une bestiole voisine lui écrasait les sabots. mais pour éviter de se faire secouer
les puces il cavala vers un terrier abandonné. je le revis plus tard devant le jardin d'acclimatation plus
tard, devant le jardin d'acclimation, je revis le poulet en train de pépier avec un zoziau à propos de son
plumage. ",bestiole voisine,bestiole$voisine,bestiole$voisine,bestiole$voisin
90,Impuissant. ,"comment dire l'impression que produit le contact de dix corps pressés sur la plate-forme arrière d'un
autobus s un jour vers midi du côté de la rue de lisbonne ? comment exprimer l'impression que vous fait
la vue d'un personnage au cou difformément long et au chapeau dont le ruban est remplacé, on ne sait
pourquoi, par un bout de ficelle ? comment rendre l'impression que donne une querelle entre un voyageur
placide injustement accusé de marcher volontairement sur les pieds de quelqu'un et ce grotesque
quelqu'un en l'occurrence le personnage ci-dessus décrit ? comment traduire l'impression que provoque
la fuite de ce dernier, déguisant sa lâcheté du veule prétexte de profiter d'une place assise ?
enfin comment formuler l'impression que cause la réapparition de ce sire devant la gare saint-lazare
deux heures plus tard en compagnie d'un ami élégant qui lui suggérait des améliorations vestimentaires ? ",dix corps$plate-forme arrière$voyageur placide$grotesque quelqu$veule prétexte,dix$corps$plate-forme$arrière$voyageur$placide$grotesque$quelqu$veule$prétexte,corps$plate-forme$arrière$voyageur$placide$grotesque$quelqu$veule$prétexte,dix$corps$arrière$voyageur$placide$grotesque$veule$prétexte
91,Modern style.,"dans un omnibus un jour vers midi il m'arriva d'assister à la petite tragi-comédie suivante. un godelureau
affligé d'un long cou et chose étrange d'un petit cordage autour du melon (mode qui fait florès mais que je
réprouve), prétextant soudain de la presse qui était grande, interpella son voisin avec une arrogance qui
dissimulait mal un caractère probablement veule et l'accusa de piétiner avec une méthode systématique
ses escarpins vernis chaque fois qu'il montait ou descendait des dames ou des messieurs se rendant à la
porte de champerret. mais le gommeux n'attendit point une réponse qui l'eüt sans doute amené sur le
terrain et grimpa vivement sur l'impériale où l'attendait une place libre, car un des occupants de notre
véhicule venait de poser son pied sur la molle asphalte du trottoir de la place pereire.
deux heures plus tard comme je me trouvais alors moi-même sur cette impériale j'aperçus le blanc-bec
dont je viens de vous entretenir qui semblait goûter fort la conversation d'un jeune gandin qui lui donnait
des conseils copurchic sur la façon de porter le pet-en-l'air dans la haute. 
",petite tragi-comédie suivante$long cou$chose étrange$petit cordage$melon mode,petite$tragi-comédie$suivante$long$cou$chose$étrange$petit$cordage$melon$mode,petite$tragi-comédie$long$cou$chose$étrange$petit$cordage$melon$mode,petit$suivant$long$cou$chose$étrange$petit$cordage$melon$mode
92,Probabiliste,"les contacts entre habitants d'une grande ville sont tellement nombreux qu'on ne saurait s'étonner s'il se
produit quelquefois entre eux des frictions d'un caractère général sans gravité. il m'est arrivé récemment
d'assister à l'une de ces rencontres dépourvues d'aménité qui ont lieu en général dans les véhicules
destinés aux transports en commun de la région parisienne aux heures d'affluence. il n'y a d'ailleurs rien
d'étonnant à ce que j'en aie été le spectateur car je me déplace fréquemment de la sorte. ce jour-là,
l'incident fut d'ordre infime, mais mon attention fut surtout attirée par l'aspect physique et la coiffure de l'un
des protagonistes de ce drame minuscule. c'était un homme encore jeune, mais dont le cou était d'une
longueur probablement supérieure à la moyenne et dont le ruban du chapeau était remplacé par du galon
tressé. chose curieuse, je le revis deux heures plus tard en train d'écouter les conseils d'ordre
vestimentaire que lui donnait un camarade en compagnie duquel il se promenait de long en large, avec
négligence dirai-je.
il n'y avait que peu de chances cette fois-ci pour qu'une troisième rencontre se produisît, et le fait est que
depuis ce jour jamais je ne revis ce jeune homme, conformément aux raisonnables lois de la
vraisemblance. ",grande ville$caractère général$région parisienne$ordre infime$aspect physique,grande$ville$caractère$général$région$parisienne$ordre$infime$aspect$physique,grande$ville$caractère$général$région$parisienne$ordre$infime$aspect$physique,grand$ville$caractère$général$général$région$parisien$ordre$infime$aspect$physique$ordre
93,Portrait. ,"le stil est un bipède au cou très long qui hante les autobus de la ligne s vers midi. il affectionne
particulièrement la plate-forme arrière où il se tient, morveux, le chef couvert d'une crête entourée d'une
excroissance de l'épaisseur d'un doigt assez semblable à de la corde. d'humeur chagrine, il s'attaque
volontiers à plus faible que lui, mais s'il se heurte à une riposte un peu vive il s'enfuit à l'intérieur du
véhicule où il essaie de se faire oublier.
on le voit aussi, mais beaucoup plus rarement, aux alentours de la gare saint-lazare au moment de la
mue. il garde sa peau ancienne pour se protéger contre le froid de l'hiver, mais souvent déchirée pour
permettre le passage du corps ; cette sorte de pardessus doit se fermer assez haut grâce à des moyens
artificiels. le stil, incapable de les découvrir lui-même, va chercher alors l'aide d'un autre bipède d'une
espèce voisine, qui lui fait faire des exercices.
la stilographie est un chapitre de la zoologie théorique et déductive que l'on peut cultiver en toute saison. ",plate-forme arrière$peau ancienne$haut grâce$moyens artificiels$stil incapable,plate-forme$arrière$peau$ancienne$haut$grâce$moyens$artificiels$stil$incapable,plate-forme$arrière$peau$ancienne$haut$grâce$moyens$artificiels$stil$incapable,stil$arrière$peau$ancien$haut$grâce$moyen$artificiel$stil$incapable
94,Géométrique ,"dans un parallélépipède rectangle se déplaçant le long d'une ligne droite d'équation 84 x + s = y, un
homoïde a présentant une calotte sphérique entourée de deux sinusoides, au-dessus d'une partie
cylindrique de longueur l > n, présente un point de contact avec un homoïde trivial b. démontrer que ce
point de contact est un point de rebroussement.
si l'homoïde a rencontre un homoïde homologue c, alors le point de contact est un disque de rayon r < l.
déterminer la hauteur h de ce point de contact par rapport à l’axe vertical de l’homoïde a. ",homoïde$parallélépipède rectangle$ligne droite$calotte sphérique$partie cylindrique,parallélépipède$rectangle$ligne$droite$calotte$sphérique$partie$cylindrique,homoïde$parallélépipède$rectangle$ligne$droite$calotte$sphérique$partie$cylindrique,parallélépipède$rectangle$ligne$droite$homoïde$calotte$sphérique$partie$cylindrique$homoïde$homoïde$homoïde$homoïde
95,Paysan ,"j’avions pas de ptits bouts de papiers avec un numéro dssus, jsommes tout de même monté dans steu
carriole. une fois que j’m’y trouvons sus steu plattforme de steu carriole qui z’appellent comm’ ça eux
zautres un autobus, jeun’sentons tout serré, tout gueurdi et tout racornissou. enfin après qu’j’euyons
paillé, je j’tons un coup d’œil tout alentour de nott peursonne et qu’est-ceu queu jeu voyons-ti pas ?un
grand flandrin avec un d’ces cous et un d’ces couv-la-tête pas ordinaires. le cou, l’était trop long.
l’chapiau l’avait dla tresse autour, dame oui. et pis, tout à coup, le voilà-ti pa qui s’met en colère ? il a dit
des paroles de la plus grande méchanceté à un pauv’ messieu qu’en pouvait mais et pis après ça l’est allé
s’asseoir, le grand flandrin.
bin, c’est des choses qu’arrivent comme ça que dans une grande ville. vous vous figurerez-vous-ti pas
qu’l’avons dnouveau rvu, ce grand flandrin.
pas plus tard que deux heures après, dvant une grande bâtisse qui pouvait bien être queuqu’chose
comme le palais dl’évêque de pantruche, comme i disent eux zautres pour appeler leur ville par son petit
nom. l’était là lgrand flandrin dson espèce et qu’est-ce qu’i lui disait l’autt feignant dson espèce ? li disait,
l’autt feignant dson espèce, l’i disait : « tu devrais tfaire mett sbouton-là un ti peu plus haut, ça srait ben
pluss chouette. » voilà cqu’i lui disait au grand flandrin, l’autt feignant dson espèce. 
",grand flandrin$dson$steu$autt$flandrin,grand$flandrin$flandrin,grand$flandrin$dson$steu$autt$flandrin,steu$steu$steu$grand$flandrin$grand$flandrin$grand$flandrin$flandrin$dson$autt$dson$autt$dson$grand$flandrin$autt$dson
96,Interjections.,"psst ! heu ! ah ! oh ! hum ! ah ! ouf ! eh ! tiens ! oh ! peuh ! pouah ! ouïe ! ou ! aïe ! eh ! hein ! heu ! pfuitt !
tiens ! eh ! peuh ! oh ! heu ! bon ! ",,nan,nan,
97,Précieux. ,"c'était aux alentours d'un juillet de midi. le soleil dans toute sa fleur régnait sur l'horizon aux multiples
tétines. l'asphalte palpitait doucement, exhalant cette tendre odeur goudronneuse qui donne aux
cancéreux des idées à la fois puériles et corrosives sur l'origine de leur mal. un autobus à la livrée verte
et blanche, blasonné d'un énigmatique s, vint recueillir du côté du parc monceau un petit lot favorisé de
candidats voyageurs aux moites confins de la dissolution sudoripare. sur la plate-forme arrière de ce
chef-d'œuvre de l'industrie automobile française contemporaine, où se serraient les transbordés comme
harengs en caque, un garnement approchant à petits pas de la trentaine et portant entre un cou d'une
longueur quasi serpentine et un chapeau cerné d'un cordaginet une tête aussi fade que plombagineuse
éleva la voix pour se plaindre avec une amertume non feinte et qui semblait émaner d'un verre de
gentiane, ou de tout autre liquide aux propriétés voisines, d'un phénomène de heurt répété qui selon lui
avait pour origine un co-usager présent hic et nunc de la stcrp. il prit pour élever sa plainte le ton aigre
d'un vieux vidame qui se fait pincer l'arrière-train dans une vespasienne et qui par extraordinaire
n'approuve point cette politesse et ne mange pas de ce pain-là. mais découvrant une place vide il s'y jeta.
plus tard, comme le soleil avait déjà descendu de plusieurs degrés l'escalier monumental de sa parade
céleste et comme de nouveau je me faisais véhiculer par un autre autobus de la même ligne, j'aperçus le
personnage plus haut décrit qui se mouvait dans la cour de rome de façon péripatétique en compagnie
d'un individu ejusdem farinae qui lui donnait, sur cette place vouée à la circulation automobile, des
conseils d'une élégance qui n'allait pas plus loin que le bouton. ",multiples tétines$tendre odeur goudronneuse$fois puériles$parc monceau$petit lot,multiples$tétines$tendre$odeur$goudronneuse$fois$puériles$monceau$petit$lot,multiples$tétines$tendre$odeur$goudronneuse$fois$puériles$parc$monceau$petit$lot,multiple$tétine$tendre$odeur$goudronneux$fois$puéril$parc$petit$lot
98,Inattendu. ,"les copains étaient assis autour d'une table de café lorsque albert les rejoignit. il y avait là rené, robert,
adolphe, georges, théodore.
- alors ça va ? demande cordialement robert.
- ça va, dit albert. il appela le garçon.
- pour moi, ce sera un picon, dit-il. adolphe se tourna vers lui :
- alors, albert, quoi de neuf ?
- pas grand-chose.
- il fait beau, dit robert.
- un peu froid, dit adolphe.
- tiens, j'ai vu quelque chose de drôle aujourd'hui, dit albert.
- il fait chaud tout de même, dit robert.
- quoi ? demanda rené.
- dans l'autobus, en allant déjeuner, répondit albert.
- quel autobus ?
- l's.
- qu'est-ce que tu as vu ? demanda robert.
- j'en ai attendu trois au moins avant de pouvoir monter.
- à cette heure-là ça n'a rien d'étonnant, dit adolphe.
- alors qu'est-ce que tu as vu ? demanda rené.
- on était serrés, dit albert.
- belle occasion pour le pince-fesse.
- peuh, dit albert. il ne s'agit pas de ça.
- raconte alors.
- à côté de moi il y avait un drôle de type.
- comment ? demanda rené.
- grand, maigre, avec un drôle de cou.
- comment ? demanda rené.
- comme si on lui avait tiré dessus.
- une élongation, dit georges.
- et son chapeau, j'y pense : un drôle de chapeau.
- comment ? demanda rené.
- pas de ruban, mais un galon tressé autour.
- curieux, dit robert.
- d'autre part, continua l'albert, c'était un râleur ce type.
- pourquoi ça ? demanda rené.
- il s'est mis à engueuler son voisin.
- pourquoi ça ? demanda rené.
- il prétendait qu'il lui marchait sur les pieds.
- exprès ? demanda robert.
- exprès, dit albert.
- et après ?
- après ? il est allé s'asseoir, tout simplement.
- c'est tout ? demanda rené.
- non. le plus curieux c'est que je l'ai revu deux heures plus tard.
- où ça ? demanda rené.
- devant la gare saint-lazare.
- qu'est-ce qu'il fichait là ?
- je ne sais pas, dit albert. il se promenait de long en large avec un copain qui lui faisait remarquer que le
bouton de son pardessus était placé un peu trop bas.
- c'est en effet le conseil que je lui donnais, dit théodore. ",georges théodore$drôle aujourd hui$belle occasion$grand maigre$autre part,georges$théodore$drôle$aujourd$hui$belle$occasion$grand$maigre$autre$part,georges$théodore$drôle$aujourd$belle$occasion$grand$maigre$part,drôle$occasion$drôle$maigre$drôle$drôle$autre$part
99,Contexte de la Recherche :,"  concurrence accru des territoires. • mondialisation / baisse des coûts des transports. • accessibilité de l'information. • l'événementialisation des territoires • l'impact des événements mal mesuré. • la réputation une définition non consolidée. • inexistence de mesure de la réputation (académiques). méthodologie « il faut 20 ans pour construire une réputation et cinq minutes pour la détruire. » warren buffet apports attendus managériaux • comprendre les mécanismes de la réputation • établir des « best practice » méthodologique : • le design de la recherche : qualitatif > quantitatif > mixte • la recherche d'efficience et de comparaison des territoires par la méthode dea scientifique : • définition et mesure de la réputation • analyse de l'organisation d'événement par l'approche par les ressources la réputation du territoire et son mode d'activation par les événements festifs cadre théorique : les théories de la réputation en stratégie l'événement ou la nécessaire hybridation du sport et de la culture dans la littérature, les événements sont différenciés en trois grandes catégories : la culture, le sport et les affaires (garat 2009). culture et sport ont chacun des particularités dans leur organisation et parfois leurs objectifs. nous ne souhaitons pas les séparer, en particulier parce que les managers publics concernés par cette recherche appartiennent au service culture et sport de leur municipalité ou région dans une majorité des cas (sept régions sur treize ont déjà regroupé leurs services sport et culture).",mondialisation baisse$réputation académiques$cinq minutes$warren buffet apports$best practice méthodologique,mondialisation$baisse$réputation$académiques$cinq$minutes$warren$buffet$apports$best$practice$méthodologique,mondialisation$baisse$réputation$académiques$minutes$warren$buffet$apports$best$practice$méthodologique,baisse$réputation$réputation$académique$réputation$cinq$minute$réputation$practice$réputation$réputation$réputation
